"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"BingSvc","1","652","239865856","55058432","28266496","38144","C:\Users\esteb\AppData\Local\Microsoft\BingSvc\BingSvc.exe","""C:\Users\esteb\AppData\Local\Microsoft\BingSvc\BingSvc.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","6.28125","2.0.0.7","2.0.0.7","Microsoft Bing Service","Microsoft Bing Service","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5988","8",,"False","11/20/2023 12:51:17 PM",,"18836",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","38144","38144","28266496","28266496","398640","398640","29749248","29749248","64372736","64372736","253239296","253239296","True","Normal","28266496","28266496","BingSvc","255","1",,"System.Diagnostics.ProcessThreadCollection","652","239865856","239865856","False",,,,"55058432","55058432",,"System.Diagnostics.ProcessModule (BingSvc.exe)","00:00:03.2500000","00:00:06.2812500","00:00:03.0312500","0","","True",,
"chrome","1","885","3487715782656","254214144","201138176","45720","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --disable-nacl --origin-trial-disabled-features=WebGPU --disable-gpu-compositing --lang=es --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=23073 --time-ticks-at-unix-epoch=-1700328446272710 --launch-time-ticks=758233467724 --mojo-platform-channel-handle=11044 --field-trial-handle=1824,i,16416619259745427915,6357833088597077354,262144 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","6.65625","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2204","4",,"False","11/27/2023 9:04:25 AM",,"900",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","45720","45720","201138176","201138176","984856","984856","305590272","305590272","401506304","401506304","3487771324416","257880064","True","Idle","201138176","201138176","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","885","3487715782656","202338304","False",,,,"254214144","254214144",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.9687500","00:00:06.6562500","00:00:05.6875000","0","","True",,
"chrome","1","5026","2308798648320","567799808","469925888","133976","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --flag-switches-begin --flag-switches-end --origin-trial-disabled-features=WebGPU","System.Diagnostics.Process","Google LLC","5473.75","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5260","8",,"False","11/20/2023 12:50:37 PM",,"1592",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","133976","133976","469925888","469925888","2268568","2268568","748941312","748941312","925310976","925310976","2309387825152","-1304580096","True","Normal","469925888","469925888","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","5026","2308798648320","-1893756928","False",,,,"567799808","567799808",,"System.Diagnostics.ProcessModule (chrome.exe)","00:27:34.4687500","01:31:13.7500000","01:03:39.2812500","1051810","break 20 - Búsqueda de Google - Google Chrome","True",,
"chrome","1","627","3494048100352","345010176","341803008","35480","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --disable-nacl --origin-trial-disabled-features=WebGPU --disable-gpu-compositing --lang=es --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=22411 --time-ticks-at-unix-epoch=-1700328446272710 --launch-time-ticks=745086017327 --mojo-platform-channel-handle=10860 --field-trial-handle=1824,i,16416619259745427915,6357833088597077354,262144 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","143.046875","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3536","4",,"False","11/27/2023 5:25:18 AM",,"2944",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","35480","35480","341803008","341803008","675544","675544","1358544896","1358544896","1449463808","1449463808","3496803041280","699662336","True","Idle","341803008","341803008","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","627","3494048100352","-2055278592","False",,,,"345010176","345010176",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:25.4062500","00:02:23.0468750","00:01:57.6406250","0","","True",,
"chrome","1","444","3487514304512","84418560","45998080","23480","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --disable-nacl --origin-trial-disabled-features=WebGPU --lang=es --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=11648 --time-ticks-at-unix-epoch=-1700328446272710 --launch-time-ticks=456109738028 --mojo-platform-channel-handle=17712 --field-trial-handle=1824,i,16416619259745427915,6357833088597077354,262144 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","7.15625","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6036","4",,"False","11/23/2023 9:09:09 PM",,"3468",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23480","23480","45998080","45998080","689424","689424","49967104","49967104","89337856","89337856","3487522992128","9547776","True","Idle","45998080","45998080","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","444","3487514304512","860160","False",,,,"84418560","84418560",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:01.2968750","00:00:07.1562500","00:00:05.8593750","0","","True",,
"chrome","1","448","3489678049280","101457920","103485440","30808","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --disable-nacl --origin-trial-disabled-features=WebGPU --disable-gpu-compositing --lang=es --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=22556 --time-ticks-at-unix-epoch=-1700328446272710 --launch-time-ticks=747609952399 --mojo-platform-channel-handle=28824 --field-trial-handle=1824,i,16416619259745427915,6357833088597077354,262144 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","16.109375","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6920","4",,"False","11/27/2023 6:07:22 AM",,"4540",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30808","30808","103485440","103485440","741888","741888","236421120","236421120","330661888","330661888","3489960984576","-1847427072","True","Idle","103485440","103485440","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","448","3489678049280","-2130362368","False",,,,"101457920","101457920",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:01.9375000","00:00:16.1093750","00:00:14.1718750","0","","True",,
"chrome","1","452","2272304799744","11522048","3682304","15200","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\esteb\AppData\Local\Google\Chrome\User Data"" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\esteb\AppData\Local\Google\Chrome\User Data\Crashpad"" ""--metrics-dir=C:\Users\esteb\AppData\Local\Google\Chrome\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=119.0.6045.160 --initial-client-data=0x164,0x168,0x16c,0xa0,0x170,0x7ffa9aa2b4a0,0x7ffa9aa2b4b0,0x7ffa9aa2b4c0","System.Diagnostics.Process (chrome)","Google LLC","2.140625","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6780","8",,"False","11/20/2023 12:50:37 PM",,"4836",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15200","15200","3682304","3682304","179672","179672","12275712","12275712","18038784","18038784","2272355676160","317976576","True","Normal","3682304","3682304","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","452","2272304799744","267100160","False",,,,"11522048","11522048",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:01.5468750","00:00:02.1406250","00:00:00.5937500","0","","True",,
"chrome","1","331","3487535480832","59981824","30318592","22936","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --disable-nacl --origin-trial-disabled-features=WebGPU --disable-gpu-compositing --lang=es --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=21928 --time-ticks-at-unix-epoch=-1700328446272710 --launch-time-ticks=730340183123 --mojo-platform-channel-handle=31084 --field-trial-handle=1824,i,16416619259745427915,6357833088597077354,262144 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.8125","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6896","4",,"False","11/27/2023 1:19:32 AM",,"5376",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22936","22936","30318592","30318592","786304","786304","46821376","46821376","96010240","96010240","3487929368576","415924224","True","Idle","30318592","30318592","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","331","3487535480832","22036480","False",,,,"59981824","59981824",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.3125000","00:00:00.8125000","00:00:00.5000000","0","","True",,
"chrome","1","253","2306931695616","21016576","9953280","19304","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=es --service-sandbox-type=audio --mojo-platform-channel-handle=6988 --field-trial-handle=1824,i,16416619259745427915,6357833088597077354,262144 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","71.625","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6256","8",,"False","11/20/2023 12:50:39 PM",,"7468",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19304","19304","9953280","9953280","643576","643576","10412032","10412032","21770240","21770240","2307015643136","618205184","True","Normal","9953280","9953280","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","253","2306931695616","534257664","False",,,,"21016576","21016576",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:25.2656250","00:01:11.6250000","00:00:46.3593750","0","","True",,
"chrome","1","841","3487712575488","279498752","215384064","52992","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --disable-nacl --origin-trial-disabled-features=WebGPU --disable-gpu-compositing --lang=es --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=23080 --time-ticks-at-unix-epoch=-1700328446272710 --launch-time-ticks=758237716771 --mojo-platform-channel-handle=15724 --field-trial-handle=1824,i,16416619259745427915,6357833088597077354,262144 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","6.71875","119.0.6045.160","119.0.6045.160","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7092","8",,"False","11/27/2023 9:04:29 AM",,"12972",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","52992","52992","215384064","215384064","1015456","1015456","325898240","325898240","409346048","409346048","3487798521856","285077504","True","Normal","215384064","215384064","chrome","255","1",,"System.Diagnostics.ProcessThreadCollection","841","3487712575488","199131136","False",,,,"279498752","279498752",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.7656250","00:00:06.7187500","00:00:05.9531250","0","","True",,
