"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"conhost","0","85","2203398041600","4804608","5353472","7328",,,,,,,,,,"Process",,,"8",,,,,"3896",".",,,,"7328","7328","5353472","5353472","78608","78608","5468160","5468160","9326592","9326592","2203401187328","82964480",,,"5353472","5353472","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","85","2203398041600","79818752","False",,,,"4804608","4804608",,,,,,"0","","True",,
"conhost","0","147","2203411509248","6799360","5804032","10184",,,,,,,,,,"Process",,,"8",,,,,"5680",".",,,,"10184","10184","5804032","5804032","113264","113264","5918720","5918720","11911168","11911168","2203414654976","96432128",,,"5804032","5804032","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","147","2203411509248","93286400","False",,,,"6799360","6799360",,,,,,"0","","True",,
"conhost","0","85","2203398074368","4861952","5353472","7328",,,,,,,,,,"Process",,,"8",,,,,"7068",".",,,,"7328","7328","5353472","5353472","78656","78656","5468160","5468160","9543680","9543680","2203401224192","83001344",,,"5353472","5353472","conhost",,"0",,"System.Diagnostics.ProcessThreadCollection","85","2203398074368","79851520","False",,,,"4861952","4861952",,,,,,"0","","True",,
"conhost","1","263","2203497250816","23707648","7925760","15760","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","System.Diagnostics.Process (pwsh)","Microsoft Corporation","6.75","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6428","8",,"False","11/27/2023 5:52:41 AM",,"24872",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15760","15760","7925760","7925760","261640","261640","11370496","11370496","25477120","25477120","2203508015104","189792256","True","Normal","7925760","7925760","conhost","255","1",,"System.Diagnostics.ProcessThreadCollection","263","2203497250816","179027968","False",,,,"23707648","23707648",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:05.3906250","00:00:06.7500000","00:00:01.3593750","0","","True",,
"conhost","1","106","2203419119616","6545408","2633728","8008","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","System.Diagnostics.Process (powershell)","Microsoft Corporation","0","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Console Window Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4816","8",,"False","11/27/2023 6:50:38 AM",,"29032",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8008","8008","2633728","2633728","125760","125760","2691072","2691072","8458240","8458240","2203420168192","101945344","True","Normal","2633728","2633728","conhost","255","1",,"System.Diagnostics.ProcessThreadCollection","106","2203419119616","100896768","False",,,,"6545408","6545408",,"System.Diagnostics.ProcessModule (conhost.exe)","00:00:00","00:00:00","00:00:00","0","","True",,
"csrss","0","698","2203440398336","4988928","2363392","34864",,,,,,,,,,"Process",,,"13",,,,,"892",".",,,,"34864","34864","2363392","2363392","315896","315896","2646016","2646016","5881856","5881856","2203443646464","125423616",,,"2363392","2363392","csrss",,"0",,"System.Diagnostics.ProcessThreadCollection","698","2203440398336","122175488","False",,,,"4988928","4988928",,,,,,"0","","True",,
"csrss","1","979","2203465887744","6889472","3350528","39336",,,,,,,,,,"Process",,,"13",,,,,"1004",".",,,,"39336","39336","3350528","3350528","393064","393064","33447936","33447936","37044224","37044224","2203510480896","192258048",,,"3350528","3350528","csrss",,"1",,"System.Diagnostics.ProcessThreadCollection","979","2203465887744","147664896","False",,,,"6889472","6889472",,,,,,"0","","True",,
"ctfmon","1","608","2203504353280","27672576","10231808","20864",,,,,"29.6875",,,,,"Process",,,"13",,"False","11/20/2023 12:50:30 PM",,"12392",".",,,,"20864","20864","10231808","10231808","273712","273712","10362880","10362880","29810688","29810688","2203511164928","192942080",,,"10231808","10231808","ctfmon",,"1",,"System.Diagnostics.ProcessThreadCollection","608","2203504353280","186130432","False",,,,"27672576","27672576",,,"00:00:20.7656250","00:00:29.6875000","00:00:08.9218750","0","","True",,
"dasHost","0","303","2203393576960","8495104","3694592","15512",,,,,,,,,,"Process",,,"8",,,,,"3396",".",,,,"15512","15512","3694592","3694592","79856","79856","3784704","3784704","9662464","9662464","2203396722688","78499840",,,"3694592","3694592","dasHost",,"0",,"System.Diagnostics.ProcessThreadCollection","303","2203393576960","75354112","False",,,,"8495104","8495104",,,,,,"0","","True",,
"DataExchangeHost","1","435","2203551514624","34721792","11304960","23928","C:\Windows\System32\DataExchangeHost.exe","C:\Windows\System32\DataExchangeHost.exe -Embedding",,"Microsoft Corporation","1.234375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Data Exchange Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4412","10",,"False","11/22/2023 7:07:39 PM",,"18568",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23928","23928","11304960","11304960","382232","382232","47378432","47378432","68202496","68202496","2203830484992","512262144","True","AboveNormal","11304960","11304960","DataExchangeHost","255","1",,"System.Diagnostics.ProcessThreadCollection","435","2203551514624","233291776","False",,,,"34721792","34721792",,"System.Diagnostics.ProcessModule (DataExchangeHost.exe)","00:00:00.8281250","00:00:01.2343750","00:00:00.4062500","0","","True",,
"dllhost","1","122","2203412508672","8597504","1728512","8288","C:\WINDOWS\system32\DllHost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{7EAD5C10-8B3F-11E6-AE22-56B6B6499611}",,"Microsoft Corporation","0.0625","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","COM Surrogate","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2604","8",,"False","11/21/2023 3:41:27 PM",,"1680",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","8288","8288","1728512","1728512","116640","116640","1916928","1916928","9359360","9359360","2203418808320","100585472","True","Normal","1728512","1728512","dllhost","255","1",,"System.Diagnostics.ProcessThreadCollection","122","2203412508672","94285824","False",,,,"8597504","8597504",,"System.Diagnostics.ProcessModule (DllHost.exe)","00:00:00.0625000","00:00:00.0625000","00:00:00","0","","True",,
"dllhost","1","1063","2203594051584","21180416","11034624","33176","C:\WINDOWS\system32\DllHost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}",,"Microsoft Corporation","2.078125","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","COM Surrogate","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6556","8",,"False","11/20/2023 12:50:20 PM",,"11204",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","33176","33176","11034624","11034624","190928","190928","13217792","13217792","24154112","24154112","2203603210240","284987392","True","Normal","11034624","11034624","dllhost","255","1",,"System.Diagnostics.ProcessThreadCollection","1063","2203594051584","275828736","False",,,,"21180416","21180416",,"System.Diagnostics.ProcessModule (DllHost.exe)","00:00:00.7656250","00:00:02.0781250","00:00:01.3125000","0","","True",,
"dllhost","1","377","2203548700672","22319104","7454720","18624","C:\WINDOWS\system32\DllHost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}",,"Microsoft Corporation","1.9375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","COM Surrogate","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4792","8",,"False","11/20/2023 12:51:41 PM",,"21576",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18624","18624","7454720","7454720","255600","255600","130977792","130977792","147308544","147308544","2211515494400","-392663040","True","Normal","7454720","7454720","dllhost","255","1",,"System.Diagnostics.ProcessThreadCollection","377","2203548700672","230477824","False",,,,"22319104","22319104",,"System.Diagnostics.ProcessModule (DllHost.exe)","00:00:00.6718750","00:00:01.9375000","00:00:01.2656250","0","","True",,
"dwm","1","1842","2204459847680","181645312","348176384","101264",,,,,,,,,,"Process",,,"13",,,,,"1512",".",,,,"101264","101264","348176384","348176384","1697456","1697456","545112064","545112064","359641088","359641088","2204519948288","1201725440",,,"348176384","348176384","dwm",,"1",,"System.Diagnostics.ProcessThreadCollection","1842","2204459847680","1141624832","False",,,,"181645312","181645312",,,,,,"0","","True",,
"ePowerButton_NB","1","390","5295095808","5402624","72278016","25944","C:\Program Files\Acer\Quick Access Service\ePowerButton_NB.exe","""C:\Program Files\Acer\Quick Access Service\ePowerButton_NB.exe"" -s",,"Acer Incorporated","0.953125","3.0.3038.0","3.0.3038.0","ePowerButton_NB","Quick Access","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5116","6",,"False","11/20/2023 12:53:09 PM",,"15384",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","25944","25944","72278016","72278016","934376","934376","79138816","79138816","81199104","81199104","5314113536","1019146240","True","BelowNormal","72278016","72278016","ePowerButton_NB","255","1",,"System.Diagnostics.ProcessThreadCollection","390","5295095808","1000128512","False",,,,"5402624","5402624",,"System.Diagnostics.ProcessModule (ePowerButton_NB.exe)","00:00:00.5468750","00:00:00.9531250","00:00:00.4062500","0","","True",,
"esif_uf","0","110","2203389235200","4849664","1589248","7672",,,,,,,,,,"Process",,,"13",,,,,"3336",".",,,,"7672","7672","1589248","1589248","69232","69232","1683456","1683456","6201344","6201344","2203393429504","75206656",,,"1589248","1589248","esif_uf",,"0",,"System.Diagnostics.ProcessThreadCollection","110","2203389235200","71012352","False",,,,"4849664","4849664",,,,,,"0","","True",,
"explorer","1","10004","2206521233408","385245184","1078648832","4560264","C:\WINDOWS\Explorer.EXE","C:\WINDOWS\Explorer.EXE","System.Diagnostics.Process","Microsoft Corporation","354.359375","10.0.22621.1 (WinBuild.160101.0800)","10.0.22621.1","Windows Explorer","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6408","8",,"False","11/20/2023 12:50:09 PM",,"9328",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","4560264","4560264","1078648832","1078648832","7351352","7351352","1176457216","1176457216","489418752","489418752","2210582581248","-1325576192","True","Normal","1078648832","1078648832","explorer","255","1",,"System.Diagnostics.ProcessThreadCollection","10004","2206521233408","-1091956736","False",,,,"385245184","385245184",,"System.Diagnostics.ProcessModule (Explorer.EXE)","00:02:36.7656250","00:05:54.3593750","00:03:17.5937500","656902","","True",,
"fdhost","0","207","4385849344","5693440","2093056","13048",,,,,,,,,,"Process",,,"8",,,,,"7060",".",,,,"13048","13048","2093056","2093056","89896","89896","2134016","2134016","7168000","7168000","4387946496","92979200",,,"2093056","2093056","fdhost",,"0",,"System.Diagnostics.ProcessThreadCollection","207","4385849344","90882048","False",,,,"5693440","5693440",,,,,,"0","","True",,
"fdlauncher","0","75","4351311872","3850240","884736","6176",,,,,,,,,,"Process",,,"8",,,,,"6928",".",,,,"6176","6176","884736","884736","40808","40808","1036288","1036288","4636672","4636672","4356554752","61587456",,,"884736","884736","fdlauncher",,"0",,"System.Diagnostics.ProcessThreadCollection","75","4351311872","56344576","False",,,,"3850240","3850240",,,,,,"0","","True",,
"FileCoAuth","1","442","2203500494848","25579520","9158656","21224","C:\Users\esteb\AppData\Local\Microsoft\OneDrive\23.226.1031.0003\FileCoAuth.exe","""C:\Users\esteb\AppData\Local\Microsoft\OneDrive\23.226.1031.0003\FileCoAuth.exe"" -Embedding",,"Microsoft Corporation","1.6875","23.226.1031.0003","23.226.1031.0003","Microsoft OneDriveFile Co-Authoring Executable","Microsoft OneDrive","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2212","8",,"False","11/21/2023 10:10:50 AM",,"23496",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21224","21224","9158656","9158656","260792","260792","16842752","16842752","34041856","34041856","2203510419456","192196608","True","Normal","9158656","9158656","FileCoAuth","255","1",,"System.Diagnostics.ProcessThreadCollection","442","2203500494848","182272000","False",,,,"25579520","25579520",,"System.Diagnostics.ProcessModule (FileCoAuth.exe)","00:00:01.0468750","00:00:01.6875000","00:00:00.6406250","0","","True",,
"fontdrvhost","0","40","2203393748992","3133440","1798144","6928",,,,,,,,,,"Process",,,"8",,,,,"1236",".",,,,"6928","6928","1798144","1798144","43456","43456","1875968","1875968","4624384","4624384","2203396005888","77783040",,,"1798144","1798144","fontdrvhost",,"0",,"System.Diagnostics.ProcessThreadCollection","40","2203393748992","75526144","False",,,,"3133440","3133440",,,,,,"0","","True",,
"fontdrvhost","1","40","2203512725504","6672384","6172672","9920",,,,,,,,,,"Process",,,"8",,,,,"1244",".",,,,"9920","9920","6172672","6172672","247160","247160","14077952","14077952","25632768","25632768","2203684655104","366432256",,,"6172672","6172672","fontdrvhost",,"1",,"System.Diagnostics.ProcessThreadCollection","40","2203512725504","194502656","False",,,,"6672384","6672384",,,,,,"0","","True",,
"FoxitPDFReaderUpdateService","0","163","54386688","8167424","1695744","12088",,,,,,,,,,"Process",,,"8",,,,,"4056",".",,,,"12088","12088","1695744","1695744","108256","108256","2138112","2138112","9207808","9207808","62140416","62140416",,,"1695744","1695744","FoxitPDFReaderUpdateService",,"0",,"System.Diagnostics.ProcessThreadCollection","163","54386688","54386688","False",,,,"8167424","8167424",,,,,,"0","","True",,
"GameBar","1","716","2203838496768","54202368","27754496","35776","C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_6.123.11012.0_x64__8wekyb3d8bbwe\GameBar.exe","""C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_6.123.11012.0_x64__8wekyb3d8bbwe\GameBar.exe"" -ServerName:App.AppXbdkk0yrkwpcgeaem8zk81k8py1eaahny.mca",,"Microsoft Corporation","0.03125","6.123.11012.0","6.123.11012.0","Game Bar","Game Bar","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3392","8",,"False","11/23/2023 3:00:17 AM",,"11036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","35776","35776","27754496","27754496","781688","781688","28577792","28577792","72032256","72032256","2203865870336","547647488","True","Normal","27754496","27754496","GameBar","255","1",,"System.Diagnostics.ProcessThreadCollection","716","2203838496768","520273920","False",,,,"54202368","54202368",,"System.Diagnostics.ProcessModule (GameBar.exe)","00:00:00.0156250","00:00:00.0312500","00:00:00.0156250","0","","True",,
"GoogleCrashHandler","0","176","54697984","2306048","1761280","11704",,,,,,,,,,"Process",,,"6",,,,,"1328",".",,,,"11704","11704","1761280","1761280","106336","106336","2121728","2121728","8683520","8683520","61140992","61140992",,,"1761280","1761280","GoogleCrashHandler",,"0",,"System.Diagnostics.ProcessThreadCollection","176","54697984","54697984","False",,,,"2306048","2306048",,,,,,"0","","True",,
"GoogleCrashHandler64","0","157","4391890944","1384448","1712128","9464",,,,,,,,,,"Process",,,"6",,,,,"1548",".",,,,"9464","9464","1712128","1712128","118608","118608","1798144","1798144","7737344","7737344","4395036672","100069376",,,"1712128","1712128","GoogleCrashHandler64",,"0",,"System.Diagnostics.ProcessThreadCollection","157","4391890944","96923648","False",,,,"1384448","1384448",,,,,,"0","","True",,
"GoProDeviceDetection","0","266","4877115392","20312064","25853952","16016",,,,,,,,,,"Process",,,"8",,,,,"1808",".",,,,"16016","16016","25853952","25853952","260040","260040","27807744","27807744","30167040","30167040","4911517696","616550400",,,"25853952","25853952","GoProDeviceDetection",,"0",,"System.Diagnostics.ProcessThreadCollection","266","4877115392","582148096","False",,,,"20312064","20312064",,,,,,"0","","True",,
"ibguard","0","122","37089280","5672960","1503232","10440",,,,,,,,,,"Process",,,"8",,,,,"4108",".",,,,"10440","10440","1503232","1503232","71328","71328","1806336","1806336","6696960","6696960","43642880","43642880",,,"1503232","1503232","ibguard",,"0",,"System.Diagnostics.ProcessThreadCollection","122","37089280","37089280","False",,,,"5672960","5672960",,,,,,"0","","True",,
"ibserver","0","180","46329856","6914048","1921024","13656",,,,,,,,,,"Process",,,"8",,,,,"4740",".",,,,"13656","13656","1921024","1921024","86592","86592","2375680","2375680","8015872","8015872","55504896","55504896",,,"1921024","1921024","ibserver",,"0",,"System.Diagnostics.ProcessThreadCollection","180","46329856","46329856","False",,,,"6914048","6914048",,,,,,"0","","True",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,,,"Process",,,"0",,,,,"0",".",,,,"272","272","61440","61440","0","0","61440","61440","8192","8192","8192","8192",,,"61440","61440","Idle",,"0",,"System.Diagnostics.ProcessThreadCollection","0","8192","8192","False",,,,"8192","8192",,,,,,"0","","True",,
"igfxCUIServiceN","0","207","2203407138816","9809920","2572288","12160",,,,,,,,,,"Process",,,"8",,,,,"3104",".",,,,"12160","12160","2572288","2572288","104216","104216","2707456","2707456","10956800","10956800","2203417317376","99094528",,,"2572288","2572288","igfxCUIServiceN",,"0",,"System.Diagnostics.ProcessThreadCollection","207","2203407138816","88915968","False",,,,"9809920","9809920",,,,,,"0","","True",,
"igfxEMN","1","366","2203461365760","12840960","4030464","14944","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_95bc605201b64517\igfxEMN.exe","""C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_95bc605201b64517\igfxEMN.exe""",,"Intel Corporation","0.625","6.15.101.1994","6.15.101.1994","igfxEM Module","Intel(R) Common User Interface","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7100","8",,"False","11/20/2023 12:50:09 PM",,"9624",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","14944","14944","4030464","4030464","211568","211568","4280320","4280320","14929920","14929920","2203470802944","152580096","True","Normal","4030464","4030464","igfxEMN","255","1",,"System.Diagnostics.ProcessThreadCollection","366","2203461365760","143142912","False",,,,"12840960","12840960",,"System.Diagnostics.ProcessModule (igfxEMN.exe)","00:00:00.3437500","00:00:00.6250000","00:00:00.2812500","0","","True",,
"igfxextN","1","189","2203428966400","10010624","3817472","12160",,,,,,,,,,"Process",,,"8",,,,,"15592",".",,,,"12160","12160","3817472","3817472","141624","141624","3887104","3887104","11857920","11857920","2203437359104","119136256",,,"3817472","3817472","igfxextN",,"1",,"System.Diagnostics.ProcessThreadCollection","189","2203428966400","110743552","False",,,,"10010624","10010624",,,,,,"0","","True",,
"IntelAudioService","0","448","4995915776","30908416","44216320","56544",,,,,,,,,,"Process",,,"8",,,,,"3832",".",,,,"56544","56544","44216320","44216320","392632","392632","44847104","44847104","62164992","62164992","5034319872","739352576",,,"44216320","44216320","IntelAudioService",,"0",,"System.Diagnostics.ProcessThreadCollection","448","4995915776","700948480","False",,,,"30908416","30908416",,,,,,"0","","True",,
"IntelCpHDCPSvc","0","130","2203392503808","4894720","1359872","7808",,,,,,,,,,"Process",,,"8",,,,,"1116",".",,,,"7808","7808","1359872","1359872","80672","80672","1429504","1429504","6021120","6021120","2203396698112","78475264",,,"1359872","1359872","IntelCpHDCPSvc",,"0",,"System.Diagnostics.ProcessThreadCollection","130","2203392503808","74280960","False",,,,"4894720","4894720",,,,,,"0","","True",,
"jhi_service","0","140","2203397623808","5623808","1327104","9176",,,,,,,,,,"Process",,,"8",,,,,"5004",".",,,,"9176","9176","1327104","1327104","88768","88768","1486848","1486848","6815744","6815744","2203402866688","84643840",,,"1327104","1327104","jhi_service",,"0",,"System.Diagnostics.ProcessThreadCollection","140","2203397623808","79400960","False",,,,"5623808","5623808",,,,,,"0","","True",,
"Launchpad","0","438","23648755712","17424384","96378880","22344",,,,,,,,,,"Process",,,"8",,,,,"7000",".",,,,"22344","22344","96378880","96378880","162392","162392","97841152","97841152","30199808","30199808","23661862912","-2107940864",,,"96378880","96378880","Launchpad",,"0",,"System.Diagnostics.ProcessThreadCollection","438","23648755712","-2121048064","False",,,,"17424384","17424384",,,,,,"0","","True",,
"LsaIso","0","61","4346687488","3534848","1822720","15360",,,,,,,,,,"Process",,,"8",,,,,"792",".",,,,"15360","15360","1822720","1822720","28824","28824","1974272","1974272","3989504","3989504","4347736064","52768768",,,"1822720","1822720","LsaIso",,"0",,"System.Diagnostics.ProcessThreadCollection","61","4346687488","51720192","False",,,,"3534848","3534848",,,,,,"0","","True",,
"lsass","0","2235","2203476656128","31854592","14327808","34456",,,,,,,,,,"Process",,,"9",,,,,"924",".",,,,"34456","34456","14327808","14327808","250952","250952","14917632","14917632","33550336","33550336","2203485593600","167370752",,,"14327808","14327808","lsass",,"0",,"System.Diagnostics.ProcessThreadCollection","2235","2203476656128","158433280","False",,,,"31854592","31854592",,,,,,"0","","True",,
"Memory Compression","0","0","1841692672","978608128","4546560","0",,,,,,,,,,"Process",,,"8",,,,,"3024",".",,,,"0","0","4546560","4546560","4224","4224","5775360","5775360","1710039040","1710039040","2915303424","-1379663872",,,"4546560","4546560","Memory Compression",,"0",,"System.Diagnostics.ProcessThreadCollection","0","1841692672","1841692672","False",,,,"978608128","978608128",,,,,,"0","","True",,
"Microsoft.AAD.BrokerPlugin","1","1110","2238568882176","89346048","104595456","79048","C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Microsoft.AAD.BrokerPlugin.exe","""C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Microsoft.AAD.BrokerPlugin.exe"" -ServerName:App.AppXgvz9wxd0frjs1prgz5kvtcz083996jyv.mca",,"Microsoft Corporation","1","10.0.22621.2506 (WinBuild.160101.0800)","10.0.22621.2506","AAD token broker plugin","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4140","8",,"False","11/27/2023 5:26:07 AM",,"19240",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","79048","79048","104595456","104595456","900104","900104","141426688","141426688","213204992","213204992","2238612115456","934154240","True","Normal","104595456","104595456","Microsoft.AAD.BrokerPlugin","255","1",,"System.Diagnostics.ProcessThreadCollection","1110","2238568882176","890920960","False",,,,"89346048","89346048",,"System.Diagnostics.ProcessModule (Microsoft.AAD.BrokerPlugin.exe)","00:00:00.1562500","00:00:01","00:00:00.8437500","0","","True",,
"Microsoft.SharePoint","1","557","2203552178176","7626752","19042304","29736","C:\Users\esteb\AppData\Local\Microsoft\OneDrive\23.226.1031.0003\Microsoft.SharePoint.exe","/silentConfig",,"Microsoft Corporation","6.5","23.226.1031.0003","23.226.1031.0003","Microsoft SharePoint","Microsoft SharePoint","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6784","8",,"False","11/20/2023 11:39:52 PM",,"24348",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","29736","29736","19042304","19042304","353144","353144","38395904","38395904","50221056","50221056","2203607187456","288964608","True","Normal","19042304","19042304","Microsoft.SharePoint","255","1",,"System.Diagnostics.ProcessThreadCollection","557","2203552178176","233955328","False",,,,"7626752","7626752",,"System.Diagnostics.ProcessModule (Microsoft.SharePoint.exe)","00:00:03.9062500","00:00:06.5000000","00:00:02.5937500","0","","True",,
"MpDefenderCoreService","0","207","2203412209664","8400896","7880704","8832",,,,,,,,,,"Process",,,"8",,,,,"4204",".",,,,"8832","8832","7880704","7880704","82200","82200","9908224","9908224","15241216","15241216","2203418841088","100618240",,,"7880704","7880704","MpDefenderCoreService",,"0",,"System.Diagnostics.ProcessThreadCollection","207","2203412209664","93986816","False",,,,"8400896","8400896",,,,,,"0","","True",,
"msedge","1","216","3513297002496","23920640","15253504","16544","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=renderer --disable-nacl --lang=en-US --js-flags=--ms-user-locale= --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=204 --time-ticks-at-unix-epoch=-1700328446278739 --launch-time-ticks=641557966805 --mojo-platform-channel-handle=11004 --field-trial-handle=1632,i,13732073001715280094,397054234210630306,262144 /prefetch:1","System.Diagnostics.Process (msedge)","Microsoft Corporation","0.21875","119.0.2151.72","119.0.2151.72","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3760","4",,"False","11/26/2023 12:39:52 AM",,"4116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16544","16544","15253504","15253504","758464","758464","15343616","15343616","28413952","28413952","3513313779712","30531584","True","Idle","15253504","15253504","msedge","255","1",,"System.Diagnostics.ProcessThreadCollection","216","3513297002496","13754368","False",,,,"23920640","23920640",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:00.1406250","00:00:00.2187500","00:00:00.0781250","0","","True",,
"msedge","1","555","3513350750208","18497536","43868160","20896","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=renderer --disable-nacl --lang=en-US --js-flags=--ms-user-locale= --device-scale-factor=1.5 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=105 --time-ticks-at-unix-epoch=-1700328446278739 --launch-time-ticks=337314854053 --mojo-platform-channel-handle=8396 --field-trial-handle=1632,i,13732073001715280094,397054234210630306,262144 /prefetch:1","System.Diagnostics.Process (msedge)","Microsoft Corporation","4.515625","119.0.2151.72","119.0.2151.72","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2464","4",,"False","11/22/2023 12:09:17 PM",,"9264",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","20896","20896","43868160","43868160","771280","771280","115642368","115642368","136003584","136003584","3513777782784","494534656","True","Idle","43868160","43868160","msedge","255","1",,"System.Diagnostics.ProcessThreadCollection","555","3513350750208","67502080","False",,,,"18497536","18497536",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:01.0937500","00:00:04.5156250","00:00:03.4218750","0","","True",,
"msedge","1","193","3513354551296","29577216","16031744","19312","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --type=ppapi --lang=en-US --device-scale-factor=1.5 --ppapi-antialiased-text-enabled=1 --ppapi-subpixel-rendering-setting=1 --mojo-platform-channel-handle=10948 --field-trial-handle=1632,i,13732073001715280094,397054234210630306,262144 /prefetch:6","System.Diagnostics.Process (msedge)","Microsoft Corporation","0.546875","119.0.2151.72","119.0.2151.72","Microsoft Edge","Microsoft Edge","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6552","8",,"False","11/22/2023 6:24:21 PM",,"9756",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19312","19312","16031744","16031744","780464","780464","17465344","17465344","36954112","36954112","3513388105728","104857600","True","Normal","16031744","16031744","msedge","255","1",,"System.Diagnostics.ProcessThreadCollection","193","3513354551296","71303168","False",,,,"29577216","29577216",,"System.Diagnostics.ProcessModule (msedge.exe)","00:00:00.1093750","00:00:00.5468750","00:00:00.4375000","0","","True",,
